id;final_date;cadastral_plan;registry_study;property_id
1;2020-11-02T04:31:14;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;43537
2;2020-11-02T06:28:58;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;59236
3;2020-11-02T09:02:05;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;593
4;2020-11-02T10:49:41;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;86240
5;2020-11-02T22:33:00;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;76881
6;2020-11-02T23:56:49;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;74324
7;2020-11-02T15:58:48;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;71554
8;2020-11-03T04:21:02;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;51064
9;2020-11-02T10:57:56;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;30144
10;2020-11-02T12:57:37;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;58069
