id;base_64_code;state;buyer_state;seller_state;creation_date
1;../fake-data/blob/hipster.txt;false;true;true;2020-11-02T18:11:34
2;../fake-data/blob/hipster.txt;true;true;false;2020-11-02T16:21:55
3;../fake-data/blob/hipster.txt;false;false;false;2020-11-02T06:25:22
4;../fake-data/blob/hipster.txt;false;false;true;2020-11-02T12:02:01
5;../fake-data/blob/hipster.txt;false;false;true;2020-11-03T01:15:11
6;../fake-data/blob/hipster.txt;true;true;true;2020-11-02T09:17:29
7;../fake-data/blob/hipster.txt;true;true;true;2020-11-02T19:05:19
8;../fake-data/blob/hipster.txt;true;false;true;2020-11-03T00:18:14
9;../fake-data/blob/hipster.txt;true;false;true;2020-11-02T23:38:17
10;../fake-data/blob/hipster.txt;true;true;true;2020-11-02T08:57:38
